ind_id;ind_in_id;ind_it_id;ind_qty;ind_total
1;41;41;1841;35325
2;1438;1438;795;18649
3;704;704;1561;42754
4;9929;9929;8952;5430
5;9514;9514;5247;48808
6;1204;1204;7947;33426
7;1702;1702;6804;6421
8;2372;2372;1217;31170
9;73;73;4064;26506
10;9272;9272;1833;27604
11;9773;9773;7383;23750
12;2415;2415;1642;47247
13;9450;9450;5447;11605
14;237;237;2544;38736
15;7318;7318;3956;4780
16;9446;9446;4321;2832
17;122;122;4665;44343
18;2311;2311;4933;5663
19;9413;9413;9187;47284
20;1524;1524;9697;17840
21;2041;2041;3938;26334
22;1041;1041;2584;25186
23;133;133;6823;42565
24;1768;1768;0;31027
25;9557;9557;2712;8275
26;1572;1572;675;47861
27;605;605;3140;28552
28;9932;9932;7113;30085
29;1984;1984;9821;8899
30;189;189;9018;18360
31;344;344;5619;38892
32;307;307;4087;34635
33;119;119;4293;11524
34;331;331;8284;5289
35;9252;9252;807;35807
36;9474;9474;3670;3535
37;2761;2761;273;1643
38;9401;9401;2045;33568
39;1397;1397;9899;5700
40;362;362;9428;25986
41;2393;2393;9520;46892
42;9276;9276;1701;15104
43;384;384;242;2110
44;1558;1558;4701;18295
45;1895;1895;2527;34248
46;9320;9320;1577;32160
47;9701;9701;7626;42899
48;9283;9283;5178;32275
49;1172;1172;6298;32633
50;5593;5593;5550;38715
51;9746;9746;6421;38890
52;9926;9926;6616;3666
53;375;375;6226;6299
54;1913;1913;3992;7597
55;8965;8965;9483;5067
56;395;395;9012;10138
57;9817;9817;9257;26083
58;8;8;3973;11726
59;2030;2030;8849;47154
60;9598;9598;8277;947
61;125;125;2106;4874
62;411;411;833;26336
63;198;198;6983;22270
64;213;213;2199;8145
65;372;372;8446;38711
66;9824;9824;7747;39114
67;819;819;3090;35722
68;1053;1053;3358;6316
69;1096;1096;4640;2928
70;9882;9882;8875;1245
71;983;983;3683;1189
72;9425;9425;2276;10775
73;195;195;4766;49963
74;1751;1751;5505;21298
75;2711;2711;9667;20947
76;9498;9498;7995;11229
77;9765;9765;3695;23076
78;5195;5195;7884;24269
79;733;733;4295;46779
80;9573;9573;1134;26115
81;9971;9971;3049;4961
82;9881;9881;7963;46277
83;488;488;814;47451
84;9757;9757;4271;20184
85;914;914;2596;29470
86;9772;9772;0;35226
87;2136;2136;9003;28336
88;241;241;7861;3927
89;15;15;300;221
90;1607;1607;8802;25668
91;1494;1494;1796;27451
92;9637;9637;4413;39916
93;170;170;6301;36413
94;1325;1325;3196;4753
95;258;258;1622;21111
96;814;814;7321;20556
97;9784;9784;8686;42834
98;3723;3723;4719;43964
99;9354;9354;8044;29584
100;409;409;6255;45133
101;1069;1069;4781;46437
102;9852;9852;8488;36582
103;328;328;4267;29346
104;9660;9660;538;31388
105;9689;9689;7424;37525
106;2511;2511;1867;28115
107;9912;9912;4145;3703
108;645;645;1850;35001
109;9724;9724;721;36649
110;846;846;4325;43838
111;9936;9936;1487;37062
112;981;981;5316;1814
113;1519;1519;1373;14947
114;9210;9210;9678;21039
115;71;71;7714;45985
116;614;614;5227;8597
117;294;294;4144;28884
118;1079;1079;19;2085
119;491;491;2711;28675
120;1400;1400;9603;3484
121;9599;9599;9444;10778
122;1464;1464;9886;31795
123;125;125;2789;6095
124;9764;9764;4557;27260
125;215;215;2843;23794
126;751;751;4462;11272
127;9472;9472;7382;24361
128;9525;9525;9080;45209
129;332;332;3144;186
130;1036;1036;8184;390
131;955;955;981;18394
132;1952;1952;3275;29111
133;343;343;5652;44685
134;525;525;1628;1645
135;349;349;9515;0
136;1537;1537;2647;29677
137;418;418;8783;18379
138;9754;9754;7425;16931
139;597;597;3391;16063
140;125;125;2404;32658
141;14;14;8452;1355
142;972;972;7153;31523
143;1115;1115;7140;43335
144;1499;1499;5976;17277
145;9390;9390;7314;6382
146;9676;9676;6480;38606
147;262;262;0;25637
148;87;87;3039;24969
149;9869;9869;6624;15373
150;795;795;5482;0
151;564;564;6395;8768
152;9399;9399;3177;12514
153;2726;2726;8667;41671
154;732;732;2007;40748
155;1374;1374;8441;15289
156;2156;2156;6812;26100
157;606;606;4895;34354
158;229;229;5699;14642
159;524;524;9710;30487
160;163;163;7695;2085
161;2799;2799;2961;7594
162;2310;2310;4485;26253
163;1046;1046;5065;3753
164;971;971;8706;8493
165;2129;2129;2537;34814
166;942;942;3344;36258
167;1028;1028;8213;25443
168;34;34;9664;7950
169;108;108;9746;7129
170;9418;9418;162;13301
171;923;923;5067;41361
172;1038;1038;6445;27605
173;9655;9655;6719;41666
174;9973;9973;6628;12821
175;1267;1267;307;19427
176;9458;9458;1151;27320
177;1118;1118;2291;21960
178;1065;1065;2746;17443
179;5987;5987;0;14518
180;476;476;6814;49712
181;226;226;7244;38654
182;1626;1626;6364;48157
183;9688;9688;1423;36303
184;3174;3174;757;8987
185;9987;9987;3598;36441
186;448;448;6750;37672
187;9897;9897;5006;0
188;682;682;2315;8719
189;9560;9560;1268;27646
190;9982;9982;7212;13822
191;944;944;4817;18584
192;9289;9289;4619;17291
193;321;321;6949;15035
194;207;207;9073;37892
195;1034;1034;9731;14845
196;354;354;430;8468
197;256;256;7919;6405
198;289;289;3386;47601
199;9568;9568;8447;23030
200;790;790;4602;8520
201;9758;9758;2631;31018
202;909;909;9102;30939
203;1215;1215;6816;30655
204;1113;1113;3294;18507
205;3207;3207;6461;11667
206;121;121;415;24011
207;9933;9933;9951;31162
208;327;327;6459;20848
209;9551;9551;2038;28850
210;3541;3541;1699;21321
211;382;382;7289;37969
212;1624;1624;4521;4139
213;9565;9565;2148;16910
214;6340;6340;8885;123
215;934;934;2466;30774
216;9736;9736;1330;13431
217;9855;9855;1538;9437
218;116;116;3727;39949
219;2409;2409;1467;44765
220;585;585;1956;22051
221;9669;9669;7531;47142
222;9836;9836;1029;27539
223;9804;9804;6944;47797
224;2360;2360;2452;44128
225;9454;9454;4928;38544
226;4489;4489;5543;46010
227;2198;2198;8119;26326
228;82;82;7373;39713
229;9511;9511;6989;26820
230;186;186;6198;4352
231;3781;3781;2389;13021
232;935;935;7766;29718
233;341;341;3844;48930
234;553;553;8144;8923
235;9825;9825;4182;33499
236;9908;9908;8142;18773
237;202;202;9548;7998
238;27;27;8129;29649
239;710;710;4296;24635
240;1860;1860;3183;34975
241;6240;6240;6800;5279
242;1563;1563;8548;16823
243;778;778;276;29868
244;3466;3466;9569;6325
245;46;46;9923;25852
246;1320;1320;295;14445
247;655;655;2470;380
248;9760;9760;8064;14911
249;1477;1477;6606;7118
250;725;725;8400;1413
251;9566;9566;8892;49031
252;271;271;4191;16456
253;9402;9402;1918;2835
254;128;128;6491;978
255;727;727;7072;11377
256;2621;2621;1602;3478
257;964;964;2157;33142
258;9625;9625;4364;36527
259;3001;3001;8366;29963
260;617;617;918;15657
261;308;308;2297;47685
262;9626;9626;2577;41448
263;144;144;9470;44027
264;648;648;5841;24497
265;2125;2125;9311;8299
266;253;253;9524;8250
267;9264;9264;677;0
268;651;651;4005;5209
269;518;518;4703;7987
270;716;716;4324;16623
271;9793;9793;1783;12000
272;345;345;3409;5432
273;9665;9665;9431;29787
274;9364;9364;8285;15313
275;9532;9532;5157;9790
276;660;660;8983;16772
277;1152;1152;752;30318
278;731;731;7376;47671
279;696;696;2529;41471
280;150;150;4633;18275
281;893;893;3072;24099
282;413;413;54;45629
283;169;169;766;11414
284;47;47;8589;32595
285;16;16;7306;25407
286;1811;1811;8198;5320
287;804;804;5847;46565
288;665;665;7353;26882
289;602;602;1072;47951
290;1002;1002;2580;47545
291;333;333;5985;30021
292;178;178;5184;35631
293;9838;9838;9763;21471
294;3562;3562;3378;49685
295;1515;1515;885;8978
296;1754;1754;4222;37290
297;137;137;9078;13830
298;389;389;4436;22796
299;9738;9738;257;5371
300;1428;1428;399;48025
301;9888;9888;9619;17602
