in_id;in_cu_id;in_date;in_description;in_total;in_discount;in_totalafterdiscount
1;818;2008-04-13 00:00;Sed delerium. pladior eggredior. apparens Pro ;371494;7SR3-REYB-9YJ0-UU98 ;354528
2;559;2004-12-05 00:00;pladior sed et eggredior. sed quis Quad delerium. ;456165;IY8W-1QMH-8UGI-MHXN ;224625
3;1002;2008-03-29 00:00;eudis gravis apparens glavans eggredior. quo ;45689;3QLB-TMPK-0NQ9-8JU4 ;220210
4;443;2003-01-17 00:00;habitatio quantare travissimantor nomen funem. ;271527;0SH7-EI1A-DXLN-SCX5 ;436474
5;274;2008-10-07 00:00;plorum gravis quantare imaginator venit. ;327386;E11K-K46R-2NS0-A9DR ;250984
6;468;2002-06-12 00:00;esset si homo, et rarendum imaginator habitatio ;398592;AKF0-222R-VMOY-ZQX3 ;245241
7;470;2005-10-19 00:00;gravis vobis nomen vobis et Quad et travissimantor;159185;ABAS-P4K3-JY6T-UL0Z ;96517
8;31;2010-01-21 00:00;apparens eggredior. quo non transit. non delerium.;449287;I1FT-GYUS-KBAR-ZAMK ;405874
9;996;2007-05-16 00:00;gravis eggredior. non vantis. delerium. in non ;422110;XHZJ-WGV3-DPX2-9VG7 ;41243
10;315;2003-12-03 00:00;si non in quo cognitio, quo, et et ut vobis sed ;475479;RASJ-7OES-JZG5-12WE ;309807
11;849;2007-04-22 00:00;quartu nomen egreddior fecit, vobis funem. sed ;31474;Z3RE-UE79-3TFJ-NOGW ;241385
12;33;2010-05-22 00:00;delerium. in vobis Quad pars essit. cognitio, ;246678;8127-E9SZ-7Z2I-OJDC ;24653
13;527;2010-03-02 00:00;manifestum quad esset eggredior. non in habitatio ;141116;TH50-QJW1-CM06-X0KK ;295710
14;688;2010-12-08 00:00;plurissimum pars rarendum essit. pars manifestum ;16662;KL7T-4QXI-4B32-QW2E ;33225
15;82;2010-04-27 00:00;et volcans non in et fecundio, dolorum non vobis ;162210;UCQK-KZV1-OZTK-7ABF ;325964
16;454;2004-09-07 00:00;esset fecit. novum parte gravis trepicandor estum.;273623;ZMDM-1IXS-0X5G-7VMQ ;358330
17;989;2007-05-22 00:00;travissimantor Et Versus pladior delerium. ;219591;4UVF-5HIU-FLMQ-7Z39 ;125955
18;763;2010-12-12 00:00;et venit. gravis apparens nomen plurissimum ;116983;NULL;213284
19;382;2003-07-18 00:00;plorum volcans quoque delerium. vobis eudis nomen ;112807;223B-QUDM-COKF-4RYW ;125889
20;958;2002-10-06 00:00;fecit. vantis. rarendum pladior et et Sed rarendum;429506;JZ2L-FBEB-8RDO-2RKB ;285039
