it_id;it_ca_id;it_lo_id;it_serialnumber;it_code;it_barcode;it_expirydate;it_description;it_manufacturer;it_price;it_qtity
1;818;818;59486;UMOAJXC75VE6IVKCZNUL ;138743835;2012-11-10 23:11;quad sed sed novum quad ;0EJ31QCPMUIXL ;5643160327;8046
2;559;559;80716;WCIKY201TF0S9G9IHY2S ;180517662;2009-08-16 16:57;non et novum quad ut ;20HRE4PLQW5EK49 ;6015011336;5942
3;1002;1002;91993;8KF8OO4QLBR4XX95PKUB ;907628628;2005-03-09 07:21;si et quis non manifestum ;HMVOMK9574W7POXLR2N7E ;2274471997;8127
4;443;443;44470;CGEE8FATIPSSTNR3BAEW ;648640265;2006-02-10 20:48;nomen quorum Tam ;KX1FNMYM68FCCW1X1HRBJ9 ;1482782489;9549
5;274;274;91472;838NCIZDRD7GRW30UG9T ;43125772;2007-03-17 08:37;plurissimum Quad linguens glavans ;IW2ZJNHH2W81XM7WN7LYOR ;1109989782;64
6;468;468;16794;2LYC49H1EAGFU4D5RWWB ;9320625;2008-03-01 08:30;vantis. non novum egreddior ;B1JT15G2OBQJJLMEYPQD ;1818762453;7833
7;470;470;83325;RCLB1RO2HU43D5H9A79I ;654397040;2014-03-06 18:08;in gravis Versus et ;4V4AUK43YBJQIQXZUFB ;3575413331;6268
8;31;31;10596;D3Q1WSQV2JDIIB9D03HT ;591464753;2008-11-13 00:26;pars vobis quartu Quad ;TKP72OB0SM9XEX75 ;1713302857;3583
9;996;996;96155;WGCBHYVWGPMT3E8VA5YX ;190916444;2010-02-05 05:37;non funem. et manifestum et ;I7KBZQZ6T0VPF49FQM ;1669209906;9584
10;315;315;67909;EAQLVU7VA4ROCGNDPFUU ;491915001;2014-10-18 01:54;funem. si gravis ;5W8694BB1MBLJSJB8 ;1993920558;3657
11;849;849;1839;MTRPEX1IQYJWRH5MQL4O ;527130856;2008-12-18 21:30;Id estis eggredior. rarendum ;AUUQ18OGADH0IN ;1141446969;3074
12;33;33;70750;6LU4QXLHKP427SGYWGX6 ;309847541;2015-07-15 04:52;egreddior pladior quo Et e brevens, ;N0JA1B7OEXKIEBXVT0OGS ;6002243257;808
13;527;527;21916;J68SLZHRYTP6ZF8XKNZF ;350666822;2011-02-15 12:29;egreddior quad plurissimum ;FVZHTTXT14NAVR ;123851133;3067
14;688;688;80487;58ETJOONU57HMMFLC5X3 ;474718196;2011-02-14 09:52;et nomen quantare estis regit, ;07F36GSGQ94DIOZT7JXLOBJHD ;234784376;6377
15;82;82;35082;LVEW8D81BTXQCEXTY1AT ;787614924;2007-12-08 05:53;fecit. non linguens ;KWGU3G5USS8CL9 ;7333200913;666
16;454;454;58382;4OIOCSTB7I1BAJCZXBBG ;58819205;2013-12-18 09:00;delerium. rarendum ;E88PFF51AGRX6CP ;1377292551;3131
17;989;989;57051;IB9R98HRD3NAMH7W7VKE ;262526517;2006-12-05 21:47;vobis habitatio nomen parte ;YPFVWZW5N8NV7LV ;8727061808;8567
18;763;763;84503;3AVE1UKU1QZCHLC8X3JB ;567154835;2007-07-24 01:37;fecit. Tam quartu ;OY92BRXBEU6 ;1851692778;7126
19;382;382;95191;UFE1O253PFQ1WF1DC7EW ;667919855;2012-12-01 03:24;non quorum fecit. essit. pladior ;CIYI249M6DQFC217R9U ;1602234214;8282
20;958;958;11320;CCNY4WUNAS1359VHDDSF ;513981523;2011-12-02 03:24;e fecit, travissimantor ;LU982ND6S4H2TH ;1581268118;1778
21;716;716;99819;BB8AL5BVKV5EMH2Q3K5A ;884874773;2014-05-15 01:15;apparens quad novum eudis ;594S2B8QA8UQ ;5009346206;3833
