mod_id;mod_mo_id;mod_it_id;mod_qtity;mod_fromlocation;mod_tolocation
1;41;41;572;7WD95DI9Y4R1Q63 ;ILLP1T0EBUJP9VP 
2;1438;1438;13834;MTCRE3JLF6IJ4XL ;9UQWN9WP214TXAV 
3;704;704;3163;SYKY3K8F9JV8QET ;TAMSRQT6J4ZRMQT 
4;9929;9929;2361;5N5XM854DRTZUZ5 ;9RLNTFF8PWMZO7G 
5;9514;9514;12154;IF8SL5L2LXHU7AU ;ZSWY9XBI1JCI942 
6;1204;1204;4201;CPEGSOPJSGKBQ9K ;78J5P7WDVD2V3TI 
7;1702;1702;13810;EUQB607Z22COQBW ;NZSTUVNCF2L93WZ 
8;2372;2372;315;XSM5KO8UPOZ4K9C ;TASGNBBRVI3VVFF 
9;73;73;2250;C7GCKJVBIEEPC0T ;10VAC8HBK7PMMMA 
10;9272;9272;8817;JIEXMFQPMWMH12F ;EG2S02OCN0XBRSG 
11;9773;9773;5798;Q0BJVKIEXAN59IH ;ND831O9KTGVFLO5 
12;2415;2415;14559;VIK1VEPXHQQOWDA ;85GEDM8ZBINBB5J 
13;9450;9450;5163;YMZBO9MZ000BSKG ;RQZ8E7WP7HZJ69R 
14;237;237;3300;EXLIHEWCBE24TTH ;UO3MB1M159RI1X9 
15;7318;7318;7206;Z76NJ5ZMWL1VED5 ;W2OVPXU18Q7WNOS 
16;9446;9446;7046;AM9ZRSXKPM0A7H6 ;ROHM2XHP4X35FDO 
17;122;122;3859;IGBKDSJ8XZMWC1Y ;7BM4LW8XU2EKTQE 
18;2311;2311;157;85U6JHS7ALYX4OE ;GPRDGNKZKYRRTPL 
19;9413;9413;11984;EUCX1LJH311R508 ;2XOB2OGVFJS0IXV 
20;1524;1524;14413;O322MZN1N3ARUM3 ;JMOPMBTKRMJM5H3 
21;2041;2041;9473;L8HIP0VNLD3IG02 ;GJHW12ES8VXWVKG 
22;1041;1041;2362;DA81MCSF7BAXBSM ;2D770W8R43KF4UQ 
23;133;133;13903;XS6XIPYO7EG9V4K ;FNKZFZCH8WGQDWP 
24;1768;1768;2879;10DKD2L8F2ADQXC ;5WKS9W5KAQRYIYO 
25;9557;9557;7484;QMLNT4QNBKT8VIK ;5ZG70H720QY3FID 
26;1572;1572;11875;QMWAE23U7YHGFLX ;DD97AYPJI0OP7DY 
27;605;605;4628;1NI9JXTW9P8S9DC ;81KEFH6OPHRIY14 
28;9932;9932;13445;I7N312ENIQGVN98 ;CKK4OG479XPZSHU 
29;1984;1984;4053;MJ670AJSSZ0OUAL ;SOVDXZRW6LIS77K 
30;189;189;4721;LKY7XU8Z9VQTHY9 ;VWDNTTLRXD5IR6V 
