st_id;st_us_id;st_description;st_date;st_status
1;818;gravis glavans vantis.;2010-01-10 23:03;2YMJNLF0CRKTP
2;559;sed Tam estum. et bono;2008-11-18 10:15;4G5PC0ACG1WRFW
3;1002;in Versus essit. plorum;2004-05-23 03:03;2IFH63VI0
4;443;Id estum. brevens,;2005-10-11 00:04;W82ESUYZ
5;274;non gravis;2002-11-12 00:08;II7Q2D4P
6;468;Longam, transit. et;2008-11-20 08:14;LMV6I5A94CI6
7;470;Id vantis.;2003-06-13 12:23;Y4QFR8XN6YSGEC
8;31;dolorum parte;2010-04-13 06:02;SC32DDWD3
9;996;cognitio, Pro;2010-01-15 09:55;QX4JPLGS8K
10;315;egreddior fecit.;2010-12-05 18:27;ZNMVSUFO3P3SEGS8
11;849;non estum.;2002-04-25 05:40;SW1RNP1BT3GCB
12;33;regit, nomen;2008-12-28 02:50;5SSTPH7LIH
13;527;cognitio, nomen quorum et;2003-04-18 07:50;00M4P3XC0Z
14;688;non rarendum;2003-09-02 23:34;IBBXKKZQYBR1X
15;82;Quad regit,;1971-01-01 00:00;MM2R87DK
16;454;gravis eudis;2007-02-01 02:57;NPE630IZAOTAHHRW
17;989;quo dolorum;2006-07-26 00:08;MSID8ZP43GU
18;763;quad parte;2002-06-07 18:31;RSZX8O85EVQ
19;382;imaginator parte;2006-10-01 05:39;BGC4P45BUMKK1
20;958;egreddior e;2008-02-10 22:19;FPP1ZJOEJV
21;716;quo, vobis quo non;2010-07-26 06:40;C8TIQ8Q23
22;1005;linguens habitatio;2009-10-27 09:28;RNKFZBJR58EWK9JG
23;795;Multum esset non Tam et;2002-07-06 01:31;W6RXXGACVBS3D
24;458;Multum essit. et;2003-07-18 01:39;IYMN24M07
25;222;et glavans dolorum gravum;2003-01-06 03:50;NDNFGOKZAVUVC5U
26;719;egreddior Et habitatio;2010-05-16 00:25;A230RNRDVXYLGBQ
27;488;et Tam fecundio,;2004-06-03 19:09;YM9JTUW7
28;879;novum novum quis e;2010-02-24 16:11;STHZMMGSVU
29;736;glavans Pro quo;2009-04-17 07:26;W7D0M9JIPYJZ
30;680;novum rarendum fecit,;2007-09-30 13:48;YWPVADF5V9YT9D9
31;219;glavans rarendum;2002-08-11 04:39;HSKG6ZQ99XJBDI
32;897;volcans delerium.;2008-05-31 01:29;9UC1PWLHIE
33;839;nomen quad travissimantor;2004-04-27 18:16;0YE6CVA675YIY
34;645;quo et cognitio, quis;2002-04-02 16:26;6FLDT4SD
35;220;NULL;2006-02-18 02:59;PZXBJEWB12SY
36;482;quad glavans vobis;2009-07-17 11:41;U3KN06AMB
37;720;apparens sed;2002-06-22 04:13;D3JHZ4PALNHP6
38;101;quis plorum;2002-05-19 02:24;JRRBUWF6ZDKIS
39;1026;fecundio, pladior;2009-06-14 10:05;3L3VENK8ZXW7CR7
